"id"	"name"	"type"	"unit"	"Jan 2014"	"Feb 2014"	"Mar 2014"	"Apr 2014"	"May 2014"	"Jun 2014"	"Jul 2014"	"Ago 2014"	"Sep 2014"	"Oct 2014"
"enel"	"ENEL"	"olii minerali"	"tons"	1774	0	0	1875	0	0	0	0	0	0
"ilva"	"ILVA/A. CORNIGLIANO"	"minerali"	"tons"	7900	7900	7900	21570	24595	22925	14440	7900	14690	7900
"ilva"	"ILVA/A. CORNIGLIANO"	"steel"	"tons"	234337	258294	237134	187987	271391	230109	212766	165957	226765	252201
"portopetroli"	"PORTO PETROLI"	"oil"	"tons"	1344551	1210473	1216784	1092035	1528902	1073454	1221293	1487880	1429967	1559575
"portopetroli"	"PORTO PETROLI"	"chemicals"	"tons"	26466	17077	26185	20177	20417	17826	30179	8536	28299	16328
"enipetrolig"	"ENI / PETROLIG"	"mineral oil"	"tons"	10128	47190	40865	26149	34700	9274	14831	21796	26507	53723
"silomar"	"SILOMAR"	"chemicals"	"tons"	15348	19208	16777	15044	24479	15474	18341	16874	20025	14684
"silomar"	"SILOMAR"	"mineral oil/biodegradables"	"tons"	0	0	0	0	0	0	0	0	0	0
"silomar"	"SILOMAR"	"vegetable oil"	"tons"	0	0	3983	8108	4380	3274	7292	8989	4991	0
"saar"	"S.A.A.R."	"vegetable oil"	"tons"	9493	17058	9621	23226	13190	10812	33588	17947	0	26203
"saar"	"S.A.A.R."	"chemicals"	"tons"	2099	6726	8028	2781	0	7441	2195	6612	3940	7000
"saar"	"S.A.A.R."	"mineral/biodegradable oil"	"tons"	2298	2538	0	2935	0	3045	0	0	3550	0
"sampolii"	"SAMPIERDARENA OLII"	"vegetable oil"	"tons"	6640	6151	9487	9533	3300	3200	3246	0	0	3000
"sampolii"	"SAMPIERDARENA OLII"	"wine"	"tons"	3365	6470	6882	2470	2757	5964	5790	5967	11296	10712
"sampolii"	"SAMPIERDARENA OLII"	"chemicals"	"tons"	0	0	1600	0	4000	0	0	1800	0	5000
"getoil"	"GETOIL"	"mineral oil"	"tons"	0	0	0	4400	9200	4800	0	0	0	0
